Name,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value
Ozone (O3),CD,313,Coney Island (CD13),Summer 2013,2013-06-01,34.64
Ozone (O3),CD,313,Coney Island (CD13),Summer 2014,2014-06-01,33.22
Ozone (O3),Borough,1,Bronx,Summer 2013,2013-06-01,31.25
Ozone (O3),Borough,1,Bronx,Summer 2014,2014-06-01,31.15
Sulfur Dioxide (SO2),CD,211,Morris Park and Bronxdale (CD11),Winter 2008-09,2008-12-01,5.89
Sulfur Dioxide (SO2),CD,212,Williamsbridge and Baychester (CD12),Winter 2008-09,2008-12-01,5.75
Ozone (O3),Borough,2,Brooklyn,Summer 2009,2009-06-01,26.27
Ozone (O3),Borough,2,Brooklyn,Summer 2010,2010-06-01,33.83
Sulfur Dioxide (SO2),CD,301,Greenpoint and Williamsburg (CD1),Winter 2008-09,2008-12-01,4.33
Sulfur Dioxide (SO2),CD,302,Fort Greene and Brooklyn Heights (CD2),Winter 2008-09,2008-12-01,4.41
Sulfur Dioxide (SO2),CD,303,Bedford Stuyvesant (CD3),Winter 2008-09,2008-12-01,4.73
Sulfur Dioxide (SO2),CD,304,Bushwick (CD4),Winter 2008-09,2008-12-01,4.71
Sulfur Dioxide (SO2),CD,305,East New York and Starrett City (CD5),Winter 2008-09,2008-12-01,3.78
Sulfur Dioxide (SO2),CD,306,Park Slope and Carroll Gardens (CD6),Winter 2008-09,2008-12-01,3.94
Sulfur Dioxide (SO2),CD,307,Sunset Park (CD7),Winter 2008-09,2008-12-01,3.78
Sulfur Dioxide (SO2),CD,308,Crown Heights and Prospect Heights (CD8),Winter 2008-09,2008-12-01,4.79
Ozone (O3),Borough,2,Brooklyn,Summer 2011,2011-06-01,33.19
Ozone (O3),Borough,2,Brooklyn,Summer 2012,2012-06-01,33.89
Ozone (O3),Borough,2,Brooklyn,Summer 2013,2013-06-01,31.13
Ozone (O3),Borough,2,Brooklyn,Summer 2014,2014-06-01,31.29
Sulfur Dioxide (SO2),CD,206,Belmont and East Tremont (CD6),Winter 2009-10,2009-12-01,5.3
Sulfur Dioxide (SO2),CD,207,Kingsbridge Heights and Bedford (CD7),Winter 2009-10,2009-12-01,7.49
PM2.5-Attributable Deaths,UHF42,101,Kingsbridge - Riverdale,2005-2007,2005-01-01,117.7
PM2.5-Attributable Deaths,UHF42,102,Northeast Bronx,2005-2007,2005-01-01,77.3
PM2.5-Attributable Deaths,UHF42,103,Fordham - Bronx Pk,2005-2007,2005-01-01,67.3
PM2.5-Attributable Deaths,UHF42,104,Pelham - Throgs Neck,2005-2007,2005-01-01,73.6
PM2.5-Attributable Deaths,UHF42,105,Crotona -Tremont,2005-2007,2005-01-01,65.8
PM2.5-Attributable Deaths,UHF42,106,High Bridge - Morrisania,2005-2007,2005-01-01,84.8
PM2.5-Attributable Deaths,UHF42,107,Hunts Point - Mott Haven,2005-2007,2005-01-01,71.0
